group,subject,session,task,row_index_0,kept_row,state,basin,sn_file,bn_file
HC,FC002,2,renewal,37,38,19,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,38,39,17,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,39,40,18,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,40,41,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,41,42,20,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,42,43,24,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,43,44,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,44,45,13,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,45,46,13,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,46,47,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,47,48,17,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,48,49,32,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,49,50,20,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,50,51,16,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,51,52,21,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,52,53,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,53,54,1,1,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,54,55,4,3,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,55,56,16,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,56,57,16,4,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
HC,FC002,2,renewal,57,58,15,2,sub-FC002_ses-2_task-renewal_fearROIs_bin_SN.csv,sub-FC002_ses-2_task-renewal_fearROIs_bin_BN.csv
